fold,feature_set,n_features,val_accuracy,val_macro_f1
1,original,3072,0.475,0.47133765679994316
2,original,3072,0.472,0.4718833552514372
3,original,3072,0.476,0.4766944068675385
4,original,3072,0.492,0.49047382617176494
5,original,3072,0.4635,0.4594162417297514
1,pca_10,307,0.4705,0.4675735606568178
2,pca_10,307,0.462,0.4613998306812981
3,pca_10,307,0.49,0.488120283830965
4,pca_10,307,0.476,0.4749287376741907
5,pca_10,307,0.4785,0.4753333292082752
1,pca_30,922,0.446,0.44439092649449574
2,pca_30,922,0.443,0.4385658900493901
3,pca_30,922,0.437,0.4376545337103984
4,pca_30,922,0.466,0.46578576092562274
5,pca_30,922,0.446,0.44425451679175965
1,pca_50,1536,0.436,0.4339328042837557
2,pca_50,1536,0.438,0.43534126429680076
3,pca_50,1536,0.449,0.44584473362578
4,pca_50,1536,0.424,0.42408892897076733
5,pca_50,1536,0.444,0.4425190637281341
1,pca_70,2150,0.466,0.4612975532021831
2,pca_70,2150,0.445,0.4422652520808594
3,pca_70,2150,0.441,0.43728153554172466
4,pca_70,2150,0.4325,0.4308181979334793
5,pca_70,2150,0.4475,0.44713947907563056
1,pca_100,3072,0.465,0.46165119340134375
2,pca_100,3072,0.4705,0.47018725086382246
3,pca_100,3072,0.4805,0.47881888030792
4,pca_100,3072,0.4615,0.461270886808673
5,pca_100,3072,0.4935,0.49228951785796815
