fold,config_name,val_accuracy,val_macro_f1
1,lr_7e4,0.479,0.4757285239399457
2,lr_7e4,0.4695,0.46913778364634695
3,lr_7e4,0.467,0.46674928767656443
4,lr_7e4,0.489,0.48791478155073476
5,lr_7e4,0.466,0.4645295511193422
1,lr_1e3,0.469,0.46839239146007994
2,lr_1e3,0.4785,0.4782715144254559
3,lr_1e3,0.492,0.49139229933192696
4,lr_1e3,0.465,0.4643157249113365
5,lr_1e3,0.4895,0.48705379614835154
1,lr_2e3,0.462,0.46153661211954056
2,lr_2e3,0.481,0.4795892394989968
3,lr_2e3,0.4785,0.47945361945727943
4,lr_2e3,0.487,0.4871073872096888
5,lr_2e3,0.4895,0.4875384661492137
