fold,feature_set,val_accuracy,val_macro_f1
1,original,0.424,0.4183296063199933
2,original,0.423,0.4184664524047078
3,original,0.414,0.4097078179189251
4,original,0.418,0.4127565151460694
5,original,0.416,0.4096699034181766
1,pca_10,0.383,0.37750164538509423
2,pca_10,0.4015,0.39612252967132344
3,pca_10,0.395,0.38986098298528904
4,pca_10,0.3915,0.38412504648248313
5,pca_10,0.4065,0.40153522824972826
1,pca_30,0.3625,0.3581981850828737
2,pca_30,0.358,0.3535627629229435
3,pca_30,0.3515,0.34590877095025097
4,pca_30,0.356,0.3542795325634768
5,pca_30,0.36,0.3565581408323963
1,pca_50,0.328,0.32351680969434243
2,pca_50,0.3375,0.3344114793866827
3,pca_50,0.3425,0.33917589276081583
4,pca_50,0.3415,0.337549470741998
5,pca_50,0.3415,0.33662447895690456
1,pca_70,0.305,0.29940608685360454
2,pca_70,0.317,0.3127954049739009
3,pca_70,0.326,0.32409357375856773
4,pca_70,0.2995,0.2949174857787241
5,pca_70,0.3115,0.30660228676743884
1,pca_100,0.4185,0.4125077280030117
2,pca_100,0.423,0.4149574898855378
3,pca_100,0.4155,0.40852171274046417
4,pca_100,0.427,0.4217667198997626
5,pca_100,0.4325,0.42734204723470326
