fold,config_name,val_accuracy,val_macro_f1
1,shallow,0.404,0.39854203070846916
2,shallow,0.436,0.43195910459678916
3,shallow,0.4145,0.4089858113231967
4,shallow,0.4155,0.41203117237046516
5,shallow,0.3955,0.3883024816755779
1,baseline,0.4145,0.4086108110438868
2,baseline,0.4115,0.4072338569058916
3,baseline,0.4335,0.42735468357044465
4,baseline,0.43,0.4245003626722963
5,baseline,0.4035,0.3971206961615832
1,regularized,0.433,0.4259117206621833
2,regularized,0.451,0.44354023960880795
3,regularized,0.421,0.4172706303131557
4,regularized,0.4285,0.42119815765466795
5,regularized,0.4165,0.40903615030994117
